timestamp,action,details,x,y
1747922847.68559,MouseClick,Button.left,841.69140625,386.09765625
1747922859.366538,MouseClick,Button.left,837.0703125,439.8046875
1747922861.3838441,MouseClick,Button.left,561.90625,462.77734375
1747922862.2496462,MouseClick,Button.left,557.02734375,533.55859375
1747922863.133193,MouseClick,Button.left,859.1484375,258.73828125
1747922863.8999538,MouseClick,Button.left,942.23046875,338.9296875
1747922864.584036,MouseClick,Button.left,918.3046875,452.48046875
1747922865.233244,MouseClick,Button.left,612.67578125,431.26953125
1747922865.915776,MouseClick,Button.left,503.703125,360.96484375
1747922866.5831082,MouseClick,Button.left,868.6953125,291.28515625
1747922867.200192,MouseClick,Button.left,876.35546875,442.97265625
1747922868.266033,MouseClick,Button.left,567.46484375,355.74609375
1747922869.80184,MouseClick,Button.left,383.61328125,510.25390625
1747922870.7460449,KeyPress,k,,
1747922870.922744,KeyPress,j,,
1747922871.99774,Backspace,Backspace pressed,,
1747922872.161304,Backspace,Backspace pressed,,
1747922873.282869,KeyPress,Key.space,,
1747922874.968967,Backspace,Backspace pressed,,
1747922875.371376,KeyPress,Key.enter,,
1747922875.528607,KeyPress,Key.enter,,
1747922876.102104,KeyPress,Key.shift_r,,
1747922876.4202392,KeyPress,#,,
1747922877.184688,KeyPress,Key.space,,
1747922877.789302,KeyPress,d,,
1747922877.9690151,KeyPress,e,,
1747922878.367682,Backspace,Backspace pressed,,
1747922878.6073961,KeyPress,o,,
1747922878.7521229,KeyPress,e,,
1747922878.946054,KeyPress,s,,
1747922879.0756211,KeyPress,Key.space,,
1747922879.1638029,KeyPress,t,,
1747922879.267295,KeyPress,h,,
1747922880.063294,KeyPress,i,,
1747922880.138579,KeyPress,s,,
1747922880.2430022,KeyPress,Key.space,,
1747922881.035317,KeyPress,w,,
1747922881.120476,KeyPress,o,,
1747922881.216365,KeyPress,r,,
1747922881.366608,KeyPress,k,,
1747922881.874586,KeyPress,Key.shift_r,,
1747922881.922645,KeyPress,?,,
1747922882.19106,KeyPress,Key.space,,
1747922883.1691468,Backspace,Backspace pressed,,
1747922883.388466,Backspace,Backspace pressed,,
1747922883.535485,Backspace,Backspace pressed,,
1747922883.6779141,Backspace,Backspace pressed,,
1747922883.839823,Backspace,Backspace pressed,,
1747922884.089084,Backspace,Backspace pressed,,
1747922884.251061,Backspace,Backspace pressed,,
1747922884.414171,Backspace,Backspace pressed,,
1747922884.5638669,Backspace,Backspace pressed,,
1747922884.707992,Backspace,Backspace pressed,,
1747922884.8664021,Backspace,Backspace pressed,,
1747922885.024857,Backspace,Backspace pressed,,
1747922885.1909819,Backspace,Backspace pressed,,
1747922885.346425,Backspace,Backspace pressed,,
1747922885.508281,Backspace,Backspace pressed,,
1747922885.670486,Backspace,Backspace pressed,,
1747922886.168465,Backspace,Backspace pressed,,
1747922890.816579,KeyPress,Key.enter,,
1747922891.088567,KeyPress,Key.shift_r,,
1747922891.419508,KeyPress,#,,
1747922891.979315,KeyPress,Key.space,,
1747922892.433435,MouseClick,Button.left,597.48828125,553.71484375
1747922895.4662871,MouseClick,Button.left,287.30078125,111.44140625
1747922898.533323,MouseClick,Button.left,478.76171875,105.765625
1747922899.666185,MouseClick,Button.left,417.3359375,403.51171875
1747922900.9159522,MouseClick,Button.left,329.53515625,430.0
1747922902.8683589,KeyPress,Key.space,,
1747922903.181663,KeyPress,e,,
1747922903.437431,KeyPress,x,,
1747922903.5872278,KeyPress,i,,
1747922903.715132,KeyPress,t,,
1747922903.851094,KeyPress,Key.space,,
1747922904.449225,Backspace,Backspace pressed,,
1747922904.6253839,Backspace,Backspace pressed,,
1747922904.7702231,Backspace,Backspace pressed,,
1747922904.920598,Backspace,Backspace pressed,,
1747922905.0492392,Backspace,Backspace pressed,,
1747922905.7563698,KeyPress,Key.enter,,
1747922906.137333,KeyPress,Key.enter,,
1747922906.3481338,KeyPress,Key.enter,,
1747922906.5182998,KeyPress,Key.enter,,
1747922908.308327,KeyPress,e,,
1747922908.5783522,KeyPress,x,,
1747922908.735994,KeyPress,i,,
1747922908.957057,KeyPress,Key.space,,
1747922909.464808,Backspace,Backspace pressed,,
1747922909.703805,KeyPress,t,,
1747922910.3933399,KeyPress,Key.enter,,
1747922914.4680011,MouseClick,Button.left,326.69140625,502.45703125
1747923089.043078,KeyPress,e,,
1747923090.473249,KeyPress,x,,
1747923090.800226,KeyPress,i,,
1747923091.14509,KeyPress,t,,
1747923096.3572962,KeyPress,Key.enter,,
1747923101.565574,MouseClick,Button.left,133.66796875,754.71875
1747923104.516027,MouseClick,Button.left,514.0546875,410.11328125
1747923105.365543,MouseClick,Button.left,580.59375,570.88671875
1747923113.414837,MouseClick,Button.left,665.87109375,360.6328125
1747923113.614697,MouseClick,Button.left,665.87109375,360.6328125
1747923113.804037,MouseClick,Button.left,665.87109375,360.6328125
1747923114.381388,MouseClick,Button.left,937.84765625,239.19140625
1747923114.748626,MouseClick,Button.left,937.84765625,239.19140625
1747923115.9320478,MouseClick,Button.left,422.21875,411.1171875